name,label,author_id,type
邓高峰,河南工业大学信息科学与工程学院,443,person
张雪萍,河南工业大学信息科学与工程学院,444,person
刘彦萍,河南工业大学信息科学与工程学院,445,person
王家耀,河南工业大学信息科学与工程学院,446,person
张磊,哈尔滨工程大学船舶工程学院,447,person
万磊,哈尔滨工程大学船舶工程学院,448,person
李晔,哈尔滨工程大学船舶工程学院,449,person
姚志广,哈尔滨工程大学船舶工程学院,450,person
付浩,国防科技大学机电工程与自动化学院,451,person
张辉,国防科技大学机电工程与自动化学院,452,person
安向京,国防科技大学机电工程与自动化学院,453,person
陈卫东,燕山大学信息学院,454,person
李宝霞,燕山大学信息学院,455,person
朱奇光,燕山大学信息学院,456,person
傅瑶,合肥工业大学电气学院自动化系,457,person
张崇巍,合肥工业大学电气学院自动化系,458,person
鲍伟,合肥工业大学电气学院自动化系,459,person
徐玉华,合肥工业大学电气学院自动化系,460,person
汪木兰,合肥工业大学电气学院自动化系,461,person
刘松,四川大学计算机学院,462,person
李志蜀,四川大学计算机学院,463,person
李奇,四川大学计算机学院,464,person
杨惠,长沙理工大学计算机与通信工程学院,465,person
李峰,长沙理工大学计算机与通信工程学院,466,person
刘成军,重庆大学智能自动化研究所,467,person
李祖枢,重庆大学智能自动化研究所,468,person
薛方正,重庆大学智能自动化研究所,469,person
王作为,哈尔滨工程大学计算机科学与技术学院,470,person
张汝波,哈尔滨工程大学计算机科学与技术学院,471,person
蔡广宇,南阳理工学院,472,person
芮挺,解放军理工大学工程兵工程学院,473,person
朱经纬,解放军理工大学工程兵工程学院,474,person
蒋新胜,解放军理工大学工程兵工程学院,475,person
廖明,解放军理工大学工程兵工程学院,476,person
肖乐,常熟理工学院计算机科学与工程学院,477,person
李明杰,常熟理工学院计算机科学与工程学院,478,person
潘欣裕,苏州科技学院电子与信息工程学院,479,person
公维理,苏州科技学院电子与信息工程学院,480,person
王俭,苏州科技学院电子与信息工程学院,481,person
赵鹤鸣,苏州科技学院电子与信息工程学院,482,person
朱群峰,邵阳学院电气工程系,483,person
宋亚男,邵阳学院电气工程系,484,person
杨宜民,邵阳学院电气工程系,485,person
徐荣华,邵阳学院电气工程系,486,person
曹有辉,装甲兵工程学院机械工程系,487,person
王良曦,装甲兵工程学院机械工程系,488,person
姜永成,北京航空航天大学机械工程与自动化学院,489,person
周正干,北京航空航天大学机械工程与自动化学院,490,person
任福君,北京航空航天大学机械工程与自动化学院,491,person
王殿君,北京航空航天大学机械工程与自动化学院,492,person
倪鹏,北京航空航天大学机械工程与自动化学院,493,person
冯玉东,燕山大学西校区电院工业计算机控制工程河北省重点实验室,494,person
刘秀玲,燕山大学西校区电院工业计算机控制工程河北省重点实验室,495,person
冯展芳,燕山大学西校区电院工业计算机控制工程河北省重点实验室,496,person
郝晓弘,兰州理工大学电气工程与信息工程学院,497,person
刘晓鹏,兰州理工大学电气工程与信息工程学院,498,person
岳和平,兰州理工大学电气工程与信息工程学院,499,person
张帆,兰州理工大学电气工程与信息工程学院,500,person
刘振宇,沈阳工业大学信息科学与工程学院,501,person
姜楠,沈阳工业大学信息科学与工程学院,502,person
张令涛,沈阳工业大学信息科学与工程学院,503,person
张万绪,西北大学信息科学与技术学院,504,person
张建斌,西北大学信息科学与技术学院,505,person
张远,西北大学信息科学与技术学院,506,person
张海霞,湖南大学电气与信息工程学院,507,person
缪思怡,湖南大学电气与信息工程学院,508,person
雷艳敏,哈尔滨工程大学自动化学院,509,person
朱齐丹,长春大学电子信息工程学院,510,person
冯志彬,空军航空大学航空救生系,511,person
罗钧,重庆大学光电技术及系统教育部重点实验室,512,person
李锐,重庆大学光电技术及系统教育部重点实验室,513,person
樊鹏程,重庆大学光电技术及系统教育部重点实验室,514,person
钱厚亮,南京工业大学自动化学院,515,person
梅雪,南京工业大学自动化学院,516,person
林锦国,南京工业大学自动化学院,517,person
宋银灏,南开大学信息技术科学学院,518,person
安刚,南开大学信息技术科学学院,519,person
张建勋,南开大学信息技术科学学院,520,person
张娜,南开大学信息技术科学学院,521,person
袁丰华,南开大学信息技术科学学院,522,person
蔡剑怀,厦门大学信息科学与技术学院,523,person
李茂青,厦门大学信息科学与技术学院,524,person
吴顺祥,厦门大学信息科学与技术学院,525,person
夏桂华,哈尔滨工程大学自动化学院,526,person
王博,哈尔滨工程大学自动化学院,527,person
朱齐丹,哈尔滨工程大学自动化学院,528,person
刘心,哈尔滨工程大学水下智能机器人技术国防科技重点实验室,529,person
印桂生,哈尔滨工程大学计算机科学与技术学院,530,person
张磊,哈尔滨工程大学信息与通信工程学院,531,person
姜丽梅,哈尔滨工程大学计算机科学与技术学院,532,person
王超伦,哈尔滨工程大学计算机科学与技术学院,533,person
冯洪奎,上海交通大学计算机集成制造研究所,534,person
鲍劲松,上海交通大学计算机集成制造研究所,535,person
金烨,上海交通大学计算机集成制造研究所,536,person
彭辉,广西工业职业技术学院,537,person
曾碧,广东工业大学,538,person
敬成林,重庆大学智能自动化研究所,539,person
王冠林,清华大学计算机科学与技术系,540,person
史海庆,清华大学计算机科学与技术系,541,person
谭洪胜,清华大学计算机科学与技术系,542,person
朱纪洪,清华大学计算机科学与技术系,543,person
隋玲玲,复旦大学电子工程系,544,person
陈雄,复旦大学电子工程系,545,person
马文涛,上海交通大学机械与动力工程学院机器人研究所,546,person
闫维新,上海交通大学机械与动力工程学院机器人研究所,547,person
付庄,上海交通大学机械与动力工程学院机器人研究所,548,person
赵言正,上海交通大学机械与动力工程学院机器人研究所,549,person
李艳东,哈尔滨工程大学自动化学院,550,person
王宗义,哈尔滨工程大学自动化学院,551,person
